,keyword,importance
4694,fact,67
1503,cosmetic,66
9657,emails,66
8145,night,66
2352,response,66
10143,testdrive,66
3029,businessdays,66
6101,paper,66
14014,idea,66
5020,leak,65
8446,office,65
125,worstcar,65
4407,lack,65
12985,drop,65
12607,inconvenience,65
7889,miles,64
10389,parts,64
3391,auto,64
7166,checkenginelight,64
13906,horribleexperience,64
8194,oh,64
8375,car,64
251,fault,63
14574,figure,63
14716,firstcar,63
5571,fees,63
9889,wife,63
4494,list,62
10344,deposit,62
8788,yes,62
4437,rude,62
3284,pre,62
12148,app,62
11536,mail,62
9662,sales,62
9187,scratches,61
3338,frustrating,60
5801,extra,60
844,file,60
10947,house,60
11579,transfer,60
7452,rotors,59
2948,others,59
13578,save,59
13165,kind,59
4622,gas,59
5874,guarantee,59
6374,department,59
12977,air,59
283,answers,58
8670,reimburse,58
6966,car,58
10851,firsttime,58
10617,must,58
747,funds,57
9961,amazing,57
13775,accident,57
10200,phonecall,57
13452,tow,56
3482,bankaccount,56
3937,recommendcarvana,56
8347,resolved,56
6613,keys,56
681,complaint,56
9541,buyerbeware,56
3802,lady,55
13836,non,55
11360,beginning,55
5763,worstcarbuying,55
5536,forth,55
6206,nd,55
5442,december,55
8223,practices,54
7424,ridiculous,54
8938,cause,54
6273,negative,54
6459,phonecalls,54
13439,deliverydriver,53
8598,rate,53
812,documentation,53
351,representatives,53
1707,resolve,53
2263,approval,53
3853,deadline,53
1090,advocates,52
6830,costs,52
1883,document,52
6676,status,51
3130,explanation,51
4056,road,51
473,deliverytime,51
9488,deliveryday,51
6722,worstcarbuyingexperience,51
13037,drivers,51
6280,carvana,51
14243,states,51
8994,highly,51
967,none,51
501,originally,51
14229,thirdparty,51
14722,nobody,50
2526,upload,50
2808,features,50
493,seemed,50
7810,legal,50
14762,add,50
13590,claims,50
3553,mention,50
5790,deliveryfee,50
6522,promises,50
3108,carfax,50
12480,car,49
11369,super,49
2643,hope,49
10445,rentalcar,49
12948,buyingprocess,49
9974,replacement,49
5958,dealerships,49
10906,wholeprocess,49
4607,switch,48
4552,mats,48
8459,facility,48
11526,machine,48
9943,carvanas,47
11485,excuse,47
4551,rust,47
1916,sunday,47
12729,clean,47
11354,felt,47
8957,employees,47
1112,frustrated,47
7690,step,46
7355,turn,46
9623,minute,46
7638,shops,46
7679,terms,46
13699,future,46
10248,lies,46
10151,greatexperience,46
4832,cardelivery,46
12376,bridgecrest,46
4866,matter,46
2930,headache,45
10449,model,45
12620,hit,45
4107,mentioned,45
8221,march,45
10166,mine,45
11629,compensation,45
1010,cardealership,45
8995,outside,45
14829,means,45
3670,stop,45
2274,application,44
4691,spend,44
2284,thousands,44
14188,st,44
821,options,44
11233,newvehicle,44
11004,reimbursement,44
7711,transport,44
14814,advertising,44
3440,ill,44
595,thinking,43
4926,interior,43
1222,repairshop,43
9121,september,43
12526,market,43
10077,advise,43
575,zerostars,43
3649,power,43
10391,word,43
4971,network,43
2332,payoff,43
5791,tax,43
12515,bbb,43
11930,worstcompany,42
11779,vendingmachine,42
10779,staff,42
856,january,42
4352,agreement,42
10760,terribleexperience,42
13216,unprofessional,42
12501,bit,42
8170,accepted,41
6754,contracts,41
10427,dates,41
9937,carvana,41
5802,june,41
3743,april,41
12191,error,41
7900,employee,41
12365,convenient,41
1642,management,41
14169,steering,41
13191,items,41
7802,somewhere,41
11890,noise,40
8283,pre,40
11784,coverage,40
13621,secondtime,40
2791,warning,40
2743,safety,40
10750,responsibility,40
13691,thursday,40
10892,hub,40
9405,note,40
807,recommended,40
7470,detailed,39
13030,close,39
12983,attorney,39
1810,yesterday,39
6486,shows,39
13802,attempt,39
5577,licenseplate,39
6078,insurancecompany,39
5478,maintenance,39
317,businesscarvana,39
9597,quickly,39
4265,stress,39
12201,black,39
12681,truly,38
7995,possession,38
11703,moved,38
3091,copy,38
2915,secondcar,38
416,law,38
6064,looks,38
11817,mechanics,38
14437,lender,38
11590,handle,38
562,misleading,38
14803,water,38
8568,open,38
10500,exchange,38
14744,passenger,38
1675,newdelivery,38
4465,daughter,38
5342,updates,38
4262,tracking,37
8587,quality,37
2166,trouble,37
5234,february,37
11729,card,37
7447,totally,37
991,hung,37
3516,photos,37
7856,highway,37
8489,texts,36
2575,excuses,36
782,dealt,36
6415,hood,36
12546,promise,36
13423,bill,36
4579,pressure,36
446,damages,36
8844,easiest,36
9302,listing,35
13677,sound,35
8248,professional,35
8679,confirmation,35
7750,severaltimes,35
5110,mess,35
468,friends,35
9408,limited,35
6299,associate,35
14663,flat,35
12300,seat,35
5634,center,35
6586,area,35
2457,action,35
9295,customersupport,35
8297,purchasecarvana,34
1081,hand,34
5828,decision,34
14767,messages,34
4515,vehicle,34
13900,human,34
2354,breaks,34
7106,wear,34
1494,finish,34
1823,shady,34
13974,daywarranty,34
4009,safe,34
9186,turns,34
7469,solution,34
10354,textmessage,34
10736,form,34
4936,works,34
6710,accountability,34
10240,lights,34
12088,diagnostic,34
3351,red,34
4477,coolant,34
10531,car,34
6650,purchaseprocess,34
13054,tomorrow,33
2562,weekend,33
9703,letter,33
433,th,33
12895,type,33
1417,filter,33
11543,chance,33
12008,fraud,33
921,suv,33
9214,oilchange,33
6493,son,33
3194,research,33
2805,returnpolicy,33
5385,score,33
6974,meet,33
6615,inspections,33
2644,entireprocess,33
10479,bodyshop,33
9338,cleaned,33
11308,record,33
12502,easier,33
13616,temporarytag,33
8536,post,32
13457,places,32
12138,wednesday,32
6174,pads,32
7025,picture,32
8311,licenseplates,32
10213,owner,32
11052,carmax,32
13310,creditunion,32
8737,initially,32
14688,floor,32
3871,push,32
12764,services,32
11563,begin,32
14406,behind,31
6800,experiences,31
9760,mechanicalissues,31
1266,notes,31
12116,fluid,31
1290,thanks,31
4902,vin,31
12777,realized,31
274,luck,31
5570,plan,31
3215,touch,31
6434,suppose,31
6021,tuesday,30
