,keyword,importance,total_importance
1210,"carfax report, hard credit inquiries, inspection, physical check, incurred damages",0.4466-0.4119-0.3911-0.3722-0.3718,1.99
1211,"carvana, carvana rep * * * * *, carvana rep, daughter, call",0.4945-0.4812-0.4806-0.274-0.2661,2.0
1212,"warranty agents, day warranty, warranty, repairs, car delivery",0.4376-0.4091-0.3914-0.3757-0.3376,1.95
1213,"car dealerships, expiration date, dealerships, typical car dealerships, typical sheisty dealer",0.415-0.4114-0.4098-0.3916-0.3669,1.99
1214,"refund, shipping charges, infiniti qx30, shipping charge, fraud",0.547-0.4157-0.4103-0.4006-0.3391,2.11
1215,"open recalls, carvana delivery date, recalls, car accident, carvana delivery",0.5577-0.5571-0.5438-0.5044-0.4599,2.62
1216,"bluetooth, carvana customer support, carvana customer, porsche, dealership",0.4931-0.461-0.4032-0.3531-0.3496,2.06
1217,"day warranty, warranty, different repair shop, repair shop, overheating",0.4449-0.4383-0.3791-0.3724-0.3712,2.01
1218,"financing, credit union, loan * * * * *, loan, approval",0.3699-0.3248-0.3225-0.3135-0.2972,1.63
1219,"vehicle purchase, carvana misinformation, car buying process, refund, carvana",0.4681-0.4646-0.4284-0.3925-0.3785,2.13
1220,"bank statement, cc statement, credit report, medical bill, life insurance statement",0.4559-0.4029-0.3976-0.3584-0.3315,1.95
1221,"refund, additional days carvana, additional payments, car carvana, purchase car",0.4079-0.4035-0.3756-0.3735-0.3666,1.93
1222,"insurance company, insurance company money, purchased vehicle, delayed, insurance",0.3641-0.3411-0.3352-0.3226-0.3187,1.68
1223,"refund amount, refund, payment, paperwork carvana, cancel",0.5632-0.5531-0.3866-0.3677-0.3603,2.23
1224,"delayed, delivery, problem, resolved, times",0.5583-0.502-0.2826-0.2639-0.1395,1.75
1225,"previous carvana purchase, carvana purchase, car carvana, carvana, registration",0.5954-0.564-0.5246-0.4674-0.4507,2.6
1226,"contacted carvana, warranty company, * * * dealership 0n august, warranty, car repairs",0.506-0.4952-0.4578-0.4555-0.4553,2.37
1227,"local tag office, car delivered, tags, registration, wrong car",0.363-0.3385-0.3352-0.3176-0.3168,1.67
1228,"bad car, credit, car, broke, shop",0.3685-0.3221-0.2754-0.2727-0.2216,1.46
1229,"purchased vehicle, terrible company, company, vehicle, car",0.4553-0.3654-0.3391-0.3384-0.3027,1.8
1230,"purchased vehicle, return car, uber account, uber, bought car",0.4681-0.4412-0.413-0.4047-0.3638,2.09
1231,"transportation delay, ordered car, transportation, delay, delivered",0.5766-0.4615-0.3676-0.3586-0.2954,2.06
1232,"transportation delay notice, transportation delays, transportation delay, car delivered, delays",0.5155-0.4957-0.4869-0.4519-0.4326,2.38
1233,"engine warranty, vehicle carvana, purchased vehicle, warranty, rental support",0.4719-0.4114-0.402-0.3807-0.362,2.03
1234,"unsafe vehicle, carvana silver rock warranty team, lemon vehicle, jeep, vehicle customer",0.4629-0.4419-0.4267-0.4014-0.3851,2.12
1235,"repossessed car, repossession, jetta, warranty, credit history",0.5261-0.4138-0.3594-0.3294-0.2433,1.87
1236,"clear misrepresentation, misrepresentation, carvana, deceptive practices, vehicle",0.4567-0.4527-0.4216-0.4146-0.3804,2.13
1237,"replacement vehicle, vehicle transmission, repairs, transmission, vehicle",0.4788-0.4268-0.3711-0.3641-0.3585,2.0
1238,"complaint carvana, vehicle carvana, carvana representatives, vehicle delivery, formal complaint",0.6496-0.4979-0.4865-0.4803-0.4763,2.59
1239,"drivers license photos, personal information, car title document photos, car title, drivers license",0.4304-0.4207-0.3917-0.3594-0.344,1.95
1240,"refund, receipt, email receipt, car delivered, carvana",0.5069-0.3809-0.3702-0.3581-0.3194,1.94
1241,"reschedule delivery, delivery delay, purchased vehicle, compensation, vehicle carvana",0.4761-0.4566-0.403-0.3806-0.3768,2.09
1242,"scheduled delivery, delivery date, postponement, deadline, delivery",0.5124-0.4469-0.4414-0.4411-0.3566,2.2
1243,"transfer case, new transfer case, transfer, towed, car delivered",0.5474-0.5225-0.4012-0.3687-0.3217,2.16
1244,"car carvana, carvana, refund, purchase car, carvana nobody",0.5229-0.4768-0.4471-0.431-0.394,2.27
1245,"horrible customer service, customer service, carvana, customer service * * * * *, * * carvana",0.4601-0.4085-0.4066-0.3984-0.3516,2.03
1246,"repairs, various scratches, initial claim photos, scratches, delivery driver",0.3619-0.3408-0.3313-0.314-0.3029,1.65
1247,"refund, carvana, purchase vehicle, full refund, purchase agreement",0.4647-0.449-0.436-0.4277-0.4143,2.19
1248,"contacted carvana, car carvana, carvana, refund, new registration",0.4832-0.4005-0.3617-0.3473-0.2758,1.87
1249,"full details, documents, attached documents, details, attached",0.3892-0.3733-0.346-0.2655-0.2112,1.59
1250,"audi, repair, repairs, time audi, repair shop",0.429-0.4064-0.3837-0.3554-0.3551,1.93
1251,"damaged car, silver rock, corvette, carvana damage, repairs",0.4171-0.3588-0.3515-0.3333-0.3144,1.78
1252,"vw tiguan, carvana, mvd, vw, bridgecrest",0.4243-0.4183-0.3919-0.3742-0.3553,1.96
1253,"documents, business carvana, delivery, vehicle, carvana",0.3737-0.331-0.2729-0.2626-0.2494,1.49
1254,"refund carvana, car delivered, car carvana, carvana paid, ordered car",0.6122-0.4814-0.4613-0.4596-0.4314,2.45
1255,"infiniti qx60, infiniti dealer, warranty, infiniti, inspection",0.5444-0.4746-0.4099-0.3123-0.2877,2.03
1256,"warranty company, front axle leak, warranty, * * * * * * * mkx, inspection",0.4031-0.3838-0.3795-0.3662-0.3399,1.87
1257,"purchase carvana, carvana * *, online carvana, carvana, carvana * * * *",0.6197-0.4596-0.459-0.451-0.4492,2.44
1258,"refunded, bank, carvana, received, account",0.5621-0.376-0.3653-0.2762-0.276,1.86
1259,"carvanas mistake, day carvana, hour verifying, carvana employee, purchase process",0.4298-0.3581-0.3562-0.3412-0.3401,1.83
1260,"fees carvana, carvana denied, car carvana, carvana, titling paperwork",0.5555-0.5355-0.4912-0.4391-0.4345,2.46
1261,"car warranty, extended car warranty, vehicle carvana, repair bill, day warranty",0.523-0.4965-0.4242-0.4029-0.4002,2.25
1262,"repair facility, day * * * * mile warranty, mile warranty, car carvana, rental car",0.3241-0.3075-0.2994-0.2853-0.2833,1.5
1263,"carvana financing, nonrefundable money, refund, financing, carvana.com",0.5876-0.468-0.4387-0.417-0.334,2.25
1264,"extended warranty, contacted carvana, warranty, warranty company, carvana app",0.5639-0.4779-0.4366-0.4362-0.4263,2.34
1265,"vehicle purchase, purchase carvana, second vehicle purchase, customer service, customer",0.4676-0.443-0.4069-0.3473-0.329,1.99
1266,"major rust problems, rust, carvana, suspension, vehicle",0.5525-0.4943-0.4147-0.3721-0.3719,2.21
1267,"wrong trim, payment, call, trim option, sale quote",0.3341-0.3147-0.304-0.2821-0.2798,1.51
1268,"non - deliverable charge, carvana, refused, return, fund",0.5032-0.4115-0.3917-0.3051-0.27,1.88
1269,"contacted carvana, carvana, carvana experience, transaction, entire carvana experience",0.4936-0.3974-0.3952-0.387-0.3849,2.06
1270,"contact carvana, vehicle carvana, insurance card multiple times, insurance card, delivery date",0.4576-0.4119-0.4016-0.3974-0.383,2.05
1271,"title lien, vehicle carvana, purchased vehicle, carvana, carvana june",0.6136-0.5038-0.4385-0.4178-0.4158,2.39
1272,"complete registration, months carvana, registration, carvana, refund",0.5463-0.4764-0.467-0.4425-0.3149,2.25
1273,"contacted carvana, carvana representative, private sale, transfer rights, carvana",0.5-0.4251-0.4129-0.3769-0.3712,2.09
1274,"shipping fees, shipping fee, refund, refunded, downpayment",0.4551-0.4483-0.4466-0.4172-0.4013,2.17
1275,"rotors, fault codes, brakes, problems, hood strut",0.5038-0.5027-0.3978-0.3948-0.3818,2.18
1276,"keys, second set, set, vehicle, second",0.4632-0.4501-0.3148-0.2906-0.1614,1.68
1277,"claims, receipt, receipt priority mail, driver, pay",0.3424-0.3114-0.2998-0.2938-0.2914,1.54
1278,"carvana.com, carvanas website, purchase vehicle, carvanas, transaction",0.4608-0.4568-0.4337-0.4294-0.405,2.19
1279,"illegal transaction, unauthorized transaction, lower payment, sons bank account, unauthorized transactions",0.4677-0.4533-0.4383-0.4101-0.4053,2.17
1280,"carvana lied, carvana, carmax, warranty, extended warranty",0.5081-0.4592-0.3817-0.3659-0.3464,2.06
1281,"refund, refunded, shipping fee, car purchase, shipping costs",0.4735-0.4556-0.4076-0.368-0.335,2.04
1282,"purchased vehicle, vehicle purchase, second vehicle purchase, inspection, car buyers",0.5019-0.4898-0.4795-0.4036-0.3981,2.27
1283,"car carvana, hybrid battery, carvana, electric battery, hybrid",0.5523-0.4773-0.4568-0.3734-0.3477,2.21
1284,"repairs, warranty coverage, repair, financed car, repair work",0.5405-0.508-0.4614-0.4592-0.4523,2.42
1285,"purchase carvana, refund, initiated purchase, car account, carvana",0.5537-0.52-0.4901-0.4413-0.3732,2.38
1286,"exhaust recall, caravana, smoking, exhaust, motor issues",0.5161-0.4062-0.3858-0.335-0.3203,1.96
1287,"insurance delivery, customer support, insurance, carvana car purchase, car purchase",0.51-0.4128-0.4036-0.3821-0.3501,2.06
1288,"inspection, initial inspection, carvana llc, point inspection, car carvana",0.47-0.4319-0.425-0.4016-0.3567,2.09
1289,"carvana, ride shares, depreciation, complaint, contract",0.4182-0.4079-0.3739-0.366-0.3127,1.88
1290,"* sienna registration, license plate, registration, * * * * * * sienna, temp license plate",0.5836-0.4348-0.4165-0.4146-0.3892,2.24
1291,"carvana warranty, carvana warranty company, car carvana, bought car, tires",0.6252-0.5901-0.5106-0.4091-0.3994,2.53
1292,"corvette z06, corvette, delivery carvana, carvana * * * *, carvana * * * * *",0.66-0.6175-0.4849-0.4569-0.4567,2.68
1293,"many fraudulent fees, expired temp plates, fraudulent, registered, register",0.4654-0.4395-0.4024-0.3816-0.3632,2.05
1294,"purchased vehicle, vehicle carvana, tge vehicle, carvana, vehicle",0.5287-0.4906-0.3907-0.3506-0.3463,2.11
1295,"contact carvana, wheel alignment, carvana rep, bridgestone, reimbursement",0.4664-0.3714-0.3709-0.3695-0.3465,1.92
1296,"deductible, repairs costs, carvana support, repair facility, vehicle carvana",0.4646-0.4633-0.3907-0.3777-0.3717,2.07
1297,"scratches, windshield damage, car carvana, purchase carvana, imperfections",0.4712-0.4591-0.4511-0.4304-0.417,2.23
1298,"purchased vehicle, warranty company, house warranty company, repair process, repair",0.4685-0.4273-0.4137-0.3917-0.3799,2.08
1299,"advertised shipping fee, refund, online dealer carvana, shipping fee, registration fees",0.4571-0.4518-0.4061-0.3693-0.3274,2.01
1300,"silverrock warranty, carvana llc, warranty, purchased vehicle, vehicle carvana",0.4368-0.4305-0.4017-0.3778-0.3629,2.01
1301,"extended warranty coverage, warranty coverage, extended warranty plan, warranty plan, extended warranty",0.5373-0.5008-0.4498-0.3887-0.3611,2.24
1302,"undisclosed rust, tacoma v6, tacoma, rust, tow package",0.4819-0.4533-0.4335-0.4282-0.4232,2.22
1303,"carvana loan, loan company, car carvana, loan, attached contract",0.4629-0.3855-0.342-0.3386-0.3299,1.86
1304,"email proof, registration, carvana call center employee, complete registration, address",0.4335-0.3883-0.3667-0.3587-0.3552,1.9
1305,"vehicle carvana, carvana account, notice carvana, carvana, carvana july",0.6335-0.5714-0.5162-0.4981-0.4931,2.71
1306,"vehicle carvana, contacted carvana, carvana, carvana representative, worthless check",0.5625-0.5563-0.4945-0.4777-0.4476,2.54
1307,"car carvana, contacted carvana, financing, repair company, preferred repair company",0.4144-0.4132-0.3821-0.3804-0.3669,1.96
1308,"purchased vehicle, warranty, family vehicle, vehicle, mechanic shop",0.4822-0.4608-0.3733-0.3468-0.3198,1.98
1309,"car accident, bought car, fraud, car carvana, accident",0.4634-0.4333-0.4103-0.405-0.355,2.07
1310,"contact carvana, credit carvana, carvana, car insurance payment, car insurance",0.6627-0.6602-0.5228-0.5218-0.5024,2.87
1311,"carvana, payment, withdraw, vehicle, unfavorable position",0.4704-0.3116-0.3022-0.2879-0.2332,1.61
1312,"refund, approved, deposit, car online, ordered car",0.4853-0.4292-0.4249-0.3922-0.3649,2.1
1313,"bank statements, contract carvana, car carvana, carvana vehicle, purchase car",0.4768-0.4743-0.464-0.4551-0.419,2.29
1314,"carvana employee insisted, return car, car carvana, small imperfection, carvana employee",0.5033-0.4853-0.4726-0.4511-0.4179,2.33
1315,"vehicle carvana, car carvana, carvana call carvana, carvana, * * carvana",0.5704-0.5487-0.4976-0.4608-0.4383,2.52
1316,"inspection, dealership, * * * * * * * dealership, * * * * * * dealership, * * * * * dealership",0.3959-0.3929-0.3908-0.3861-0.3837,1.95
1317,"day extension, vehicle, tn, purchased vehicle, vehicle february",0.2683-0.2447-0.24-0.2367-0.2289,1.22
1318,"scratches, inspection, rocks, purchased vehicle, entire front bumper",0.4036-0.3498-0.3175-0.3131-0.3085,1.69
1319,"car purchase, vehicle features, car inspection, day warranty, insurance",0.4203-0.347-0.3459-0.3442-0.3384,1.8
1320,"carvana llc, purchase carvana, refund, carvana, withdraw",0.5381-0.5359-0.5015-0.4262-0.3769,2.38
1321,"refund process, refund, refunded, deposit, bank",0.6152-0.5389-0.4862-0.3738-0.3553,2.37
1322,"carvana llc, car carvana, car payments, carvana, bought car",0.4535-0.4365-0.3626-0.3451-0.3449,1.94
1323,"jeeps transmission woudl, jeep, transmission issues, transmission slipping, jeeps",0.5328-0.4002-0.3624-0.3486-0.335,1.98
1324,"vehicle carvana, imperfections, carvana, paint, undisclosed damages",0.4779-0.4076-0.3884-0.3729-0.3702,2.02
1325,"undisclosed damages, damages, purchased vehicle, warranty, rust damage",0.5094-0.4494-0.3959-0.3937-0.3679,2.12
1326,"delayed delivery, reschedule delivery, original delivery date, new delivery date, delivery date",0.5738-0.463-0.4449-0.4365-0.4324,2.35
1327,"vehicle registration complaint body, complaint carvana, contact carvana, vehicle registration, temporary registration",0.5866-0.5843-0.5665-0.558-0.5443,2.84
1328,"silverado, colorado, swap, vehicle, ram",0.4073-0.3377-0.2841-0.2611-0.2444,1.53
1329,"complaint carvana, adaptive cruise control mis, car carvana, inspection, car * * * x5",0.5034-0.4604-0.4143-0.4071-0.3978,2.18
1330,"defective vehicle, car issues, contacted carvana, carvana provided, vehicle",0.4245-0.4071-0.4066-0.339-0.334,1.91
1331,"car carvana, contacted carvana, bought car, carvana, deductible",0.4833-0.4743-0.4056-0.3937-0.352,2.11
1332,"purchase process, poor customer experience, complaint issues, customer dashboard, jeep",0.4059-0.3985-0.3951-0.375-0.3617,1.94
1333,"bad tires, carvana tire, correct tire, legit german specialist mechanic, tires",0.4613-0.4293-0.4254-0.4161-0.405,2.14
1334,"carvana warranty, car warranty, mileage warranty, limited warranty, warranty provider",0.6289-0.5889-0.5518-0.4947-0.4901,2.75
1335,"next available ct dmv appointment, ct dmv, dmv, carvana, ct",0.5826-0.5659-0.4577-0.3866-0.3699,2.36
1336,"car carvana, carvana, pre collision assit warning, crash, crash error",0.5493-0.4718-0.4675-0.3685-0.3498,2.21
1337,"tire lock, tire locks, tire, tires, * * * * * * * dealership",0.6458-0.6452-0.508-0.4586-0.4585,2.72
1338,"mustang, warranty coverage, power train warranty, warranty, damaged car",0.4352-0.3937-0.3871-0.3807-0.3643,1.96
1339,"refund, cancel, authorized payment, purchase car, payment",0.4387-0.3941-0.3939-0.3297-0.2968,1.85
1340,"carvana contact, carvana, email, contact, need",0.7665-0.5544-0.5266-0.5189-0.2846,2.65
1341,"swap car, car loan, temporary tags, temporary tag, registered",0.4166-0.3874-0.3413-0.3343-0.3309,1.81
1342,"silver rock warranty, rock warranty, faulty brakes, brake, purchased vehicle",0.4414-0.3749-0.3653-0.3277-0.3186,1.83
1343,"title carvana, car carvana, carvana, bought car, ownership",0.666-0.5625-0.5198-0.5087-0.419,2.68
1344,"illegal plates, temporary plates, registration plates, plates, californias timeline",0.5131-0.4848-0.4582-0.3777-0.3333,2.17
1345,"temporary license plate, temporary license, complete registration, car delivered, license plate",0.5178-0.4552-0.3933-0.3864-0.3736,2.13
1346,"underwriting department, carvana * *, carvana * * * *, carvana * * * * *, carvana * * * * * * *",0.4456-0.4201-0.4121-0.4092-0.4074,2.09
1347,"purchase carvana, payment, cancel, carvana online, bank",0.4695-0.3902-0.3711-0.3503-0.3146,1.9
1348,"reschedule delivery, reschedule, new delivery date, delivery date, delivery window",0.6115-0.4968-0.4569-0.4317-0.3869,2.38
1349,"car registration, contacted carvana, car carvana, carvana april, temporary tag",0.5238-0.4993-0.4936-0.4839-0.4337,2.43
1350,"shipping charge, shipping fee, back guarantee, day money back guarantee, shipping",0.4204-0.3991-0.3925-0.3753-0.3709,1.96
1351,"vehicle carvana, purchased vehicle, purchase vehicle, delivery reimbursement, carvana",0.522-0.5032-0.4739-0.4543-0.4067,2.36
1352,"truck, vehicle finished signing contracts, insurance swap, ram * * * *, dead battery",0.3306-0.3282-0.3219-0.3158-0.3072,1.6
1353,"confirmed, carvana, new offer, expired, estimated time",0.3098-0.3042-0.2999-0.2941-0.2845,1.49
1354,"carvana.com, carvana, account, delete, name dob addresses",0.4512-0.415-0.3755-0.2898-0.2198,1.75
1355,"carvana paid, vehicle carvana, carvana representative, offer carvana, amount carvana",0.5237-0.4833-0.4409-0.4365-0.4338,2.32
1356,"vehicle purchase, contacted carvana, message car transportation, carvana vehicle, car transportation",0.5351-0.5165-0.4778-0.4524-0.3984,2.38
1357,"insurance purchase, insurance policy, contract, shipping date, poor customer service",0.4517-0.3449-0.3216-0.315-0.3097,1.74
1358,"paper title, electronic title, sale carvana, clerical error, carvana end",0.4778-0.4617-0.4551-0.4477-0.3829,2.23
1359,"vehicle codes, impala, vehicle, * * * * * impala, license plate",0.4004-0.3798-0.3732-0.3553-0.3254,1.83
1360,"carvana multiple times, vehicle trade, nasty scam, carvana, scam",0.5292-0.4815-0.4757-0.4704-0.4557,2.41
1361,"extreme smoke, smoke, fire, vehicle, * * * vehicles",0.4501-0.3671-0.3519-0.3425-0.3354,1.85
1362,"molding, bumper, front bumper, glue, paint",0.3903-0.3854-0.3551-0.3345-0.3339,1.8
1363,"certified check, car carvana, replacement check, carvana, bank",0.4137-0.3957-0.366-0.3492-0.3222,1.85
1364,"car carvana, dealership, carvana, car needs, bought car",0.5539-0.467-0.4479-0.435-0.4207,2.32
1365,"warranty company, party warranty company, vehicle carvana, warranty, month warranty",0.449-0.4476-0.4411-0.4164-0.4055,2.16
1366,"loan, * * * loan, corporate number, charge, sales asccoiate",0.4833-0.451-0.3863-0.3247-0.3086,1.95
1367,"new rotors, jeep patriot, days tags, rotors, jeep",0.4573-0.4284-0.3802-0.3579-0.3555,1.98
1368,"va state registration, state registration, registration, processing registration, carvana",0.5155-0.4172-0.3918-0.3899-0.3773,2.09
1369,"chevrolet equinox, day warranty, warranty, new motor, equinox",0.5373-0.4471-0.4254-0.4124-0.3862,2.21
1370,"inspection, brief inspection, filthy car, carvana customer service, interior clean",0.461-0.426-0.4143-0.396-0.3852,2.08
1371,"car delivered, repair place, registration documents hostage, repair info, repair places",0.4596-0.401-0.3817-0.3812-0.3687,1.99
1372,"vehicle purchase, dealer funding request, carvana account, carvana account online, carvana provided",0.5197-0.4956-0.4527-0.4349-0.4295,2.33
1373,"temporary registration, carvana, tax issue, additional paperwork, temporary tabs",0.3976-0.3698-0.3534-0.3435-0.3388,1.8
1374,"carvana needs, carvana, vin number, catalytic converter, bad engine",0.4649-0.4487-0.3936-0.3831-0.3481,2.04
1375,"cigarette smoke smell, cigarette smell, smoke smell, smoker car, car delivered",0.4399-0.439-0.4192-0.3773-0.3764,2.05
1376,"electronic payment, theft, carvana, request refund, payment",0.4566-0.4524-0.4457-0.4268-0.4156,2.2
1377,"refund, refunded, disabled vehicle, car carvana, vehicle",0.4158-0.3929-0.3488-0.3486-0.292,1.8
1378,"% interest rate, interest rate, * * * * % interest rate, original rate, % interest",0.3995-0.3935-0.3795-0.3625-0.3601,1.9
1379,"dmv, car tags, register, title, tags",0.5279-0.4969-0.3694-0.3382-0.3138,2.05
1380,"repair order, repairs, repair, car return, vehicle carvana",0.4159-0.4048-0.3712-0.3559-0.3544,1.9
1381,"warranty, purchased vehicle, premiere warranty, outstanding paperwork, vehicle online",0.419-0.4012-0.3965-0.3886-0.349,1.95
1382,"rear air conditioning, touch screen, vehicle cigarette smoke damage, screen, radio",0.342-0.334-0.3334-0.332-0.3266,1.67
1383,"carvana.com delivery person, carvana.com rep, ordered car, order car, carvana.com",0.499-0.4803-0.4455-0.4109-0.4049,2.24
1384,"refund amount, request refund, arbitration agreement, refund, court fee",0.5011-0.4703-0.4651-0.4428-0.4388,2.32
1385,"inspection, car note, carvana, vehicle, repair",0.4522-0.4383-0.4248-0.3595-0.3451,2.02
1386,"jeep cherokee latitude, jeep cherokee, jeep, cherokee, warranty",0.4679-0.4464-0.403-0.3906-0.3606,2.07
1387,"second key, key, * * * * * * sentry, delivery, delivered",0.5861-0.386-0.3648-0.3105-0.2907,1.94
1388,"tags, car carvana, temp tags, th e temp tags, paperwork",0.4015-0.3766-0.3736-0.3381-0.3189,1.81
1389,"transfer registration, plate registration, registration fee, entire state registration fee, new license plate",0.4964-0.4866-0.4208-0.4091-0.4089,2.22
1390,"carvana customer service, carvana customer service agents, carvana customer, delayed delivery, insurance",0.5541-0.5484-0.4959-0.4606-0.4087,2.47
1391,"paperwork carvana, refund, refunded, tax returns, carvana",0.4772-0.4695-0.4222-0.3354-0.309,2.01
1392,"carvana, active duty service member, vehicle, approval, service member",0.4341-0.3559-0.3392-0.322-0.3018,1.75
1393,"cash check, chat agent, chat agents, chat agents supervisor, accounting department",0.4073-0.3605-0.3573-0.3494-0.2587,1.73
1394,"certified check, vehicle payment, ach withdrawl, verifications, carvana employee",0.4116-0.4064-0.4045-0.3214-0.2817,1.83
1395,"complaint carvana, vehicle carvana, fraudulent practices, fraudulent nature, non - disclosure",0.5609-0.4731-0.4662-0.4271-0.427,2.35
1396,"tire, tire blowouts, tire * * * * *, tires, front tire",0.4817-0.4742-0.4582-0.4522-0.4462,2.31
1397,"complaint carvana, automobile fraud, unfair business practices, llc dear better business bureau, legal action",0.6026-0.4723-0.446-0.4178-0.4117,2.35
1398,"brake pad warning light, limited warranty, warranty, warranty company, land rover discovery",0.5079-0.4256-0.398-0.3968-0.3944,2.12
1399,"vehicle carvana, purchased vehicle, license plate, carvana, vehicle",0.5903-0.5428-0.4933-0.4606-0.41,2.5
1400,"delivery date, carvana, delivery, deliver, vehicle",0.4676-0.4452-0.3782-0.3563-0.3293,1.98
1401,"solar octane, carvana delivery, purchase carvana, * * * * * * carvana delivery, different carvana",0.5406-0.4749-0.4694-0.4572-0.4455,2.39
1402,"day/4189 mile warranty, jeep wrangler, jeep, mile warranty, vehicle registration",0.4496-0.434-0.4147-0.393-0.3877,2.08
1403,"damaged tires, minor fender damage, fender damage, unsafe tires, front tires",0.5865-0.5575-0.5373-0.4872-0.444,2.61
1404,"car payments, hard tags, temp tags, different car, tags",0.4804-0.3743-0.3491-0.3085-0.3048,1.82
1405,"registration, temporary license plate, uber voucher, temporary license, license plate",0.5031-0.427-0.4219-0.381-0.3468,2.08
1406,"ev vehicle, back guarantee, day money back guarantee, ev charging station, contacted carvana",0.4771-0.4737-0.4599-0.4107-0.3937,2.22
1407,"replacement car sunchips, replacement car, oxygen sensor, sensor, check engine light",0.5129-0.4434-0.4272-0.3823-0.3549,2.12
1408,"vehicle carvana, carvana, carvana still, way carvana, new vehicle",0.5496-0.4447-0.4264-0.4049-0.365,2.19
1409,"next delivery date, delivery date, bbb staff lo consumer states, delivery, next delivery",0.415-0.4127-0.4064-0.382-0.3759,1.99
1410,"refund, customer service, payment, purchase, customer",0.5305-0.332-0.3066-0.2585-0.2538,1.68
1411,"stop payment, loan carvana, ach payment, payment, purchase vehicle",0.5646-0.4453-0.4113-0.3898-0.3781,2.19
1412,"auto repair, repair cost, computer replacement, repair, repairs",0.504-0.4735-0.4575-0.4145-0.4055,2.26
1413,"car, issues, many problems, problems, road",0.417-0.3399-0.2977-0.283-0.2566,1.59
1414,"extended warranty, warranty, refund, cancel, cvsc * * * * * * *",0.538-0.4347-0.395-0.3851-0.2967,2.05
1415,"jeep wrangler sahara, wrangler sahara, jeep wrangler, bad catalytic converter, jeep",0.5095-0.4428-0.4261-0.3906-0.3825,2.15
1416,"purchase agreement, future agreement, non refundable hotel deposits, contract, delaying delivery",0.4932-0.4562-0.4039-0.3859-0.3709,2.11
1417,"carvanas warranty, carvanas warranty office, carvana issue, preferred carvana dealer, contacted carvana",0.6721-0.6653-0.5617-0.5612-0.5146,2.97
1418,"acura zdx, inspection, reliable car, acura, repairs",0.5376-0.4151-0.4006-0.3743-0.3585,2.09
1419,"battery issue, battery, refund, bought car, request refund",0.4746-0.41-0.2882-0.2772-0.2646,1.71
1420,"license plate issue, front license plate, return car, check tpms system light, license plate",0.4774-0.3464-0.3327-0.3321-0.3192,1.81
1421,"vehicle carvana, purchase vehicle, carvana, dissatisfied customer, customer service rep",0.5802-0.4939-0.4797-0.4613-0.3982,2.41
1422,"minor scratches, car delivered, expensive car, return car, online retailer carvana",0.4204-0.4078-0.3902-0.3614-0.3522,1.93
1423,"insurance lien, redacted copy, contacted carvana, mva, lien",0.5087-0.4852-0.4088-0.3404-0.33,2.07
1424,"warranty silver rock, warranty provider silver rock, extended warranty, limited warranty, new radiator",0.5325-0.5305-0.4618-0.4051-0.3958,2.33
1425,"oil change, oil, tire shine, change, carvana",0.6184-0.3564-0.272-0.2599-0.2404,1.75
1426,"contract carvana, scheduled delivery, car delivered, delivery fee, reschedule",0.5208-0.4277-0.4264-0.4017-0.3946,2.17
1427,"appraisal, initial appraisal, quote expired, day extension, expired",0.4265-0.3942-0.3218-0.3202-0.3164,1.78
1428,"schedule delivery, delivery email, vehicle online, refund, email confirmation",0.3838-0.373-0.3589-0.3417-0.3332,1.79
1429,"original appraisal, appraisal, carvana, payoff, customer service",0.3933-0.3774-0.3275-0.2901-0.2637,1.65
1430,"complete registration, registration documents, registration work, temporary operating plate, registration",0.5417-0.5384-0.5324-0.5266-0.5203,2.66
1431,"multi point inspection, inspection, point inspection, carvana, repairs",0.4983-0.4407-0.4312-0.3645-0.3575,2.09
1432,"hours underwriting, buick encore, underwriting, buick, swap",0.4021-0.3902-0.3375-0.3075-0.2994,1.74
1433,"refund, carvana, * * * insurance, insurance, * * * * * * pathfinder",0.4628-0.3984-0.3427-0.3114-0.3033,1.82
1434,"repair, key remote, drive train error, * * repair, i3 * * *",0.3761-0.3742-0.3498-0.3399-0.2927,1.73
1435,"tow truck, * * * i3, carvana june, drive train error, vehicle june",0.385-0.38-0.3751-0.3732-0.3655,1.88
1436,"contact carvana, carvana rep, receipt, sales tax, carvana",0.4823-0.4448-0.4327-0.4159-0.4125,2.19
1437,"muffler, mufflers, state inspection, inspection, driveable condition",0.4573-0.4233-0.4159-0.3717-0.3305,2.0
1438,"expired tags, truck, tags, vehicle, rental car",0.565-0.3333-0.3235-0.2666-0.2472,1.74
1439,"mileage updates, payment, original offer amount, purchase offer, mileage",0.3604-0.3037-0.2792-0.2606-0.2529,1.46
1440,"liability insurance, collision insurance, liability, purchased vehicle, vehicle carvana",0.5543-0.4734-0.4477-0.4372-0.431,2.34
1441,"contract carvana, carvana june, notice carvana, carvana, purchased vehicle",0.6982-0.5858-0.5629-0.5287-0.4826,2.86
1442,"purchased vehicle, bank, charges, vehicle carvana, bank account",0.4107-0.3694-0.369-0.3661-0.3244,1.84
1443,"vehicle carvana, commercial vehicle, delivery fee, carvana, purchase price",0.4972-0.3896-0.3835-0.3722-0.3454,1.99
1444,"permanent plates, carvana provided, registration, carvana * *, carvana * * * *",0.4334-0.3622-0.3508-0.3333-0.3297,1.81
1445,"carvana car, vehicle, carvana, vehicles, car",0.5408-0.4315-0.4259-0.4141-0.3745,2.19
