,keyword,importance,total_importance
55,"nonrefundable delivery charge, purchase vehicle, purchase agreement, delivery charge, sales purchase agreement",0.5842-0.4785-0.4314-0.4145-0.4114,2.32
56,"transportation issues, transport issues, tesla model x, tesla model, model x car",0.4761-0.473-0.3752-0.3421-0.3222,1.99
57,"purchase transaction, online transaction, transaction, shipment, cancel",0.4464-0.4138-0.4094-0.379-0.359,2.01
58,"attorney form, second poa form, poa form, purchased vehicle, vehicle carvana",0.4874-0.4199-0.3987-0.3703-0.3525,2.03
59,"damages, purchased vehicle, claims, invoices, back bumper",0.4471-0.4312-0.3627-0.3615-0.3211,1.92
60,"* * * * * xc90 car, day money back guarantee, * * * * * xc90, refund, back guarantee",0.4854-0.4071-0.3916-0.3608-0.3559,2.0
61,"day warranty, warranty company, warranty, air conditioner, repairs",0.4457-0.4384-0.4257-0.4194-0.3815,2.11
62,"oil filter, replacement spring, oil pan, oil, maintenance light",0.4696-0.4156-0.3703-0.2999-0.2939,1.85
63,"extended warranty vehicle, extended warranty, warranty, lien, loan",0.5003-0.4873-0.4014-0.3464-0.3345,2.07
64,"payment carvana, refund, payment, carvana, received",0.5654-0.5131-0.3828-0.354-0.2602,2.08
65,"return car, day guarantee, deadline, contract, contracts",0.4435-0.3612-0.3515-0.3406-0.3229,1.82
66,"warranty company carvana, bumper guarantee, day warranty, warranty, warranty company",0.5602-0.4931-0.4387-0.4346-0.4279,2.35
67,"shipping destination carvana, car carvana, customer service rep, compensation, customer service",0.502-0.4188-0.3797-0.3479-0.328,1.98
68,"warranty provider, warranty, inspection, repairs, diagnostic",0.4867-0.4424-0.425-0.3872-0.3471,2.09
69,"contacted carvana, warranty claim, carvana, hybrid, * * * * f140",0.466-0.4143-0.4006-0.3654-0.3604,2.01
70,"gas pedal, chrysler pacifica, day warranty, warranty, system upgrade",0.4227-0.3933-0.3355-0.3336-0.3168,1.8
71,"warranty, warranty company, overheating issue, overheating problem, land rover range rover",0.4318-0.4242-0.3785-0.3636-0.3589,1.96
72,"resign contract, car delivered, contract, car carvana, payment",0.4931-0.4524-0.3719-0.3479-0.3049,1.97
73,"delaying delivery, car carvana, scam, carvana, delivery",0.4982-0.4859-0.4645-0.4239-0.3842,2.26
74,"bank carvana, vehicle carvana, cashiers check, bank, overnight check",0.5512-0.3988-0.3963-0.3692-0.3598,2.08
75,"contacted carvana, loan payoff documentation, title transfer, loan * * * * *, loan payoff",0.4471-0.4305-0.4304-0.3903-0.3568,2.06
76,"dead battery, purchased vehicle, refunded, insurance company, insurance",0.5082-0.3611-0.356-0.3554-0.3321,1.91
77,"registration, carvana today, drive vehicle, vehicle, plates",0.3632-0.3193-0.3125-0.3085-0.3015,1.6
78,"paint repair, online carvana, car online, repair, carvana",0.5958-0.4128-0.3951-0.3645-0.3579,2.13
79,"clean car fax, car fax, car accident, accident, vehicle",0.4446-0.4428-0.4347-0.3356-0.3291,1.99
80,"new physical id, shipping date, delivery date, new id, state id",0.4331-0.3553-0.3491-0.3446-0.3346,1.82
81,"day money back guarantee, refund, refund department, rust issues, back guarantee",0.4352-0.4351-0.4245-0.4228-0.3596,2.08
82,"deadline carvana, carvana order, car carvana, carvana, deadline",0.5985-0.5518-0.4761-0.4423-0.3646,2.43
83,"transaction, car online, online carvana, driving license, payment",0.3573-0.3283-0.3155-0.2859-0.278,1.56
84,"transaction, payment, loan, pay amount, loan company santander",0.4446-0.3902-0.3744-0.3412-0.3395,1.89
85,"shipping fee, purchase vehicle, vehicle online, shipping, deposit",0.478-0.4404-0.4022-0.3783-0.3512,2.05
86,"carvanas service, purchase vehicle, partners dealership, dealership, carvanas",0.4376-0.4297-0.3589-0.3588-0.3247,1.91
87,"refund status, refund, refund.4, deceptive business practices, % refund",0.4474-0.4299-0.422-0.4167-0.3439,2.06
88,"purchased vehicle, vehicle carvana, contacted carvana, unsafe vehicle, carvana",0.4622-0.4605-0.434-0.3528-0.3457,2.06
89,"carvana, * * * dealership, * dealership, dealership, radiator",0.4643-0.4323-0.4221-0.4148-0.3709,2.1
90,"refund, refunded, transaction date, carvana, purchase car",0.5119-0.4976-0.4577-0.404-0.384,2.26
91,"inspection, initial inspection, non - refundable shipping, - refundable shipping fee, inspections",0.4736-0.4494-0.4396-0.433-0.4329,2.23
92,"temporary plate, car carvana, nj dmv, carvana, dmv",0.4357-0.4198-0.3791-0.3542-0.3285,1.92
93,"car payment, next car payment, payments, payment, overall total next car payment",0.5192-0.4813-0.443-0.4226-0.3974,2.26
94,"non - refundable shipping, refundable shipping, purchased vehicle, payment check, vehicle carvana",0.5542-0.5481-0.3619-0.3391-0.3291,2.13
95,"georgia dmv, vehicle registration, ga drive system, ga, geico insurance",0.5582-0.4747-0.4511-0.3974-0.3635,2.24
96,"inspection report, car carvana, inspection, carvana, inspection cost",0.5008-0.4542-0.4191-0.3991-0.3881,2.16
97,"vehicle, damage, items, delivered, purchase",0.5134-0.4097-0.3846-0.3268-0.2679,1.9
98,"vehicle carvana, buick, car may, vehicle, different vehicle",0.4887-0.4245-0.417-0.4008-0.3933,2.12
99,"refund, request refund, vehicle carvana, carvana, payment",0.5279-0.4835-0.4381-0.3913-0.3896,2.23
100,"bad clutch, extended warranty, clutch, insurance, warranty",0.3486-0.3356-0.3064-0.3055-0.2869,1.58
101,"check engine light, check engine, purchased vehicle, kia * * *, kia * * * *",0.4584-0.4471-0.4459-0.439-0.4376,2.23
102,"owe * * * * * *, audi a4, interest rate, paying, audi",0.4523-0.4295-0.4072-0.3444-0.3404,1.97
103,"louisiana state attorney general office, home landline number, state attorney general, additional contact number, louisiana",0.4999-0.4186-0.3474-0.3471-0.3402,1.95
