,year,date,year_month,count
0,2021,2021-07-22,07/2021,8
1,2021,2021-07-23,07/2021,6
2,2021,2021-07-24,07/2021,6
3,2021,2021-07-25,07/2021,4
4,2021,2021-07-26,07/2021,11
5,2021,2021-07-27,07/2021,9
6,2021,2021-07-28,07/2021,7
7,2021,2021-07-29,07/2021,5
8,2021,2021-07-30,07/2021,4
9,2021,2021-07-31,07/2021,4
10,2021,2021-08-01,08/2021,10
11,2021,2021-08-02,08/2021,8
12,2021,2021-08-03,08/2021,5
13,2021,2021-08-04,08/2021,3
14,2021,2021-08-05,08/2021,8
15,2021,2021-08-06,08/2021,10
16,2021,2021-08-07,08/2021,9
17,2021,2021-08-08,08/2021,3
18,2021,2021-08-09,08/2021,5
19,2021,2021-08-10,08/2021,8
20,2021,2021-08-11,08/2021,13
21,2021,2021-08-12,08/2021,10
22,2021,2021-08-13,08/2021,4
23,2021,2021-08-14,08/2021,9
24,2021,2021-08-15,08/2021,9
25,2021,2021-08-16,08/2021,4
26,2021,2021-08-17,08/2021,6
27,2021,2021-08-18,08/2021,7
28,2021,2021-08-19,08/2021,8
29,2021,2021-08-20,08/2021,11
30,2021,2021-08-21,08/2021,6
31,2021,2021-08-22,08/2021,8
32,2021,2021-08-23,08/2021,9
33,2021,2021-08-24,08/2021,7
34,2021,2021-08-25,08/2021,10
35,2021,2021-08-26,08/2021,4
36,2021,2021-08-27,08/2021,6
37,2021,2021-08-28,08/2021,3
38,2021,2021-08-29,08/2021,5
39,2021,2021-08-30,08/2021,14
40,2021,2021-08-31,08/2021,18
41,2021,2021-09-01,09/2021,5
42,2021,2021-09-02,09/2021,11
43,2021,2021-09-03,09/2021,10
44,2021,2021-09-04,09/2021,7
45,2021,2021-09-05,09/2021,4
46,2021,2021-09-06,09/2021,10
47,2021,2021-09-07,09/2021,12
48,2021,2021-09-08,09/2021,11
49,2021,2021-09-09,09/2021,14
50,2021,2021-09-10,09/2021,8
51,2021,2021-09-11,09/2021,6
52,2021,2021-09-12,09/2021,6
53,2021,2021-09-13,09/2021,14
54,2021,2021-09-14,09/2021,16
55,2021,2021-09-15,09/2021,10
56,2021,2021-09-16,09/2021,21
57,2021,2021-09-17,09/2021,3
58,2021,2021-09-18,09/2021,7
59,2021,2021-09-19,09/2021,3
60,2021,2021-09-20,09/2021,11
61,2021,2021-09-21,09/2021,10
62,2021,2021-09-22,09/2021,10
63,2021,2021-09-23,09/2021,6
64,2021,2021-09-24,09/2021,4
65,2021,2021-09-25,09/2021,6
66,2021,2021-09-26,09/2021,13
67,2021,2021-09-27,09/2021,12
68,2021,2021-09-28,09/2021,8
69,2021,2021-09-29,09/2021,14
70,2021,2021-09-30,09/2021,9
71,2021,2021-10-01,10/2021,10
72,2021,2021-10-02,10/2021,6
73,2021,2021-10-03,10/2021,6
74,2021,2021-10-04,10/2021,13
75,2021,2021-10-05,10/2021,4
76,2021,2021-10-06,10/2021,3
77,2021,2021-10-07,10/2021,3
78,2021,2021-10-08,10/2021,9
79,2021,2021-10-09,10/2021,2
80,2021,2021-10-10,10/2021,2
81,2021,2021-10-11,10/2021,2
82,2021,2021-10-12,10/2021,7
83,2021,2021-10-13,10/2021,4
84,2021,2021-10-14,10/2021,5
85,2021,2021-10-15,10/2021,6
86,2021,2021-10-16,10/2021,1
87,2021,2021-10-17,10/2021,4
88,2021,2021-10-18,10/2021,3
89,2021,2021-10-19,10/2021,2
90,2021,2021-10-20,10/2021,6
91,2021,2021-10-21,10/2021,10
92,2021,2021-10-22,10/2021,5
93,2021,2021-10-23,10/2021,8
94,2021,2021-10-24,10/2021,3
95,2021,2021-10-25,10/2021,7
96,2021,2021-10-26,10/2021,2
97,2021,2021-10-27,10/2021,8
98,2021,2021-10-28,10/2021,6
99,2021,2021-10-29,10/2021,4
100,2021,2021-10-30,10/2021,6
101,2021,2021-11-01,11/2021,4
102,2021,2021-11-02,11/2021,10
103,2021,2021-11-03,11/2021,1
104,2021,2021-11-04,11/2021,5
105,2021,2021-11-05,11/2021,7
106,2021,2021-11-06,11/2021,4
107,2021,2021-11-07,11/2021,2
108,2021,2021-11-08,11/2021,8
109,2021,2021-11-09,11/2021,3
110,2021,2021-11-10,11/2021,4
111,2021,2021-11-11,11/2021,6
112,2021,2021-11-12,11/2021,1
113,2021,2021-11-13,11/2021,3
114,2021,2021-11-14,11/2021,4
115,2021,2021-11-15,11/2021,8
116,2021,2021-11-16,11/2021,3
117,2021,2021-11-17,11/2021,9
118,2021,2021-11-18,11/2021,4
119,2021,2021-11-19,11/2021,5
120,2021,2021-11-20,11/2021,2
121,2021,2021-11-21,11/2021,2
122,2021,2021-11-22,11/2021,4
123,2021,2021-11-23,11/2021,4
124,2021,2021-11-24,11/2021,2
125,2021,2021-11-26,11/2021,3
126,2021,2021-11-27,11/2021,2
127,2021,2021-11-29,11/2021,4
128,2021,2021-12-01,12/2021,9
129,2021,2021-12-02,12/2021,2
130,2021,2021-12-03,12/2021,3
131,2021,2021-12-04,12/2021,5
132,2021,2021-12-05,12/2021,1
133,2021,2021-12-06,12/2021,2
134,2021,2021-12-07,12/2021,5
135,2021,2021-12-08,12/2021,4
136,2021,2021-12-09,12/2021,4
137,2021,2021-12-10,12/2021,8
138,2021,2021-12-11,12/2021,3
139,2021,2021-12-12,12/2021,6
140,2021,2021-12-13,12/2021,2
141,2021,2021-12-14,12/2021,4
142,2021,2021-12-15,12/2021,2
143,2021,2021-12-16,12/2021,5
144,2021,2021-12-17,12/2021,1
145,2021,2021-12-21,12/2021,1
146,2021,2021-12-28,12/2021,2
147,2021,2021-12-29,12/2021,3
148,2021,2021-12-31,12/2021,5
149,2022,2022-01-01,01/2022,1
150,2022,2022-01-03,01/2022,1
151,2022,2022-01-04,01/2022,2
152,2022,2022-01-05,01/2022,3
153,2022,2022-01-06,01/2022,4
